"","gridcode","Longitude","Latitude"
"1",528,-98.49,55.91
"2",986,-92.5135192871,52.6553611755
"3",1323,-136.927642822,60.1134414673
"4",14,-129.8230591,59.11888885
"5",1264,-120.155143738,56.3342208862
"6",106,-126.6511078,54.39778137
"7",1212,-118.107170105,52.8641204834
"8",1391,-124.145309448,51.6738586426
"9",1392,-123.104499817,51.2539710999
"10",213,-114.5283279,51.15444183
"11",1381,-119.955558777,50.2888908386
"12",1038,-114.58870697,50.2852592468
"13",1453,-114.833358765,49.8914909363
"14",268,-121.0297165,50.13528061
"15",1470,-119.321388245,49.2492790222
"16",260,-114.8647232,49.89416885
"17",1030,-114.570953369,50.948928833
"18",1035,-114.244911194,50.6885490417
"19",1436,-115.896728516,49.7136611938
"20",580,-114.84,51.28
"21",586,-116.05,50.89
"22",648,-81.05,48.55
"23",768,-84.2816925049,46.5628585815
